Run,Experiment,BioSample,Sample,SampleName,treatment_group,timepoint,sample_number,probiotic,delivery_vehicle,spots,bases,avgLength,size_MB,LibraryLayout,Platform,Model,download_path,weeks
SRR20011320,SRX16052028,SAMN29546735,SRS13730999,fungi_PV_W12_G_191,PV,W12,191,No,Patty,29473,14366499,487,7,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR020/20011/SRR20011320/SRR20011320.lite.1,12
SRR20011319,SRX16052029,SAMN29546736,SRS13731000,fungi_PV_W12_G_192,PV,W12,192,No,Patty,39069,8710564,222,4,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011319/SRR20011319.lite.1,12
SRR20011318,SRX16052030,SAMN29546737,SRS13731001,fungi_PV_W12_G_193,PV,W12,193,No,Patty,19051,5190989,272,2,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR020/20011/SRR20011318/SRR20011318.lite.1,12
SRR20011317,SRX16052031,SAMN29546738,SRS13731002,fungi_PV_W12_G_194,PV,W12,194,No,Patty,9759,4841292,496,2,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011317/SRR20011317.lite.1,12
SRR20011316,SRX16052032,SAMN29546739,SRS13731003,fungi_PV_W12_G_195,PV,W12,195,No,Patty,30337,10405594,343,5,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011316/SRR20011316.lite.1,12
SRR20011273,SRX16052075,SAMN29546753,SRS13731046,fungi_SP_W12_G_210,SP,W12,210,Yes,Spray,9394,4379585,466,2,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011273/SRR20011273.lite.1,12
SRR20011271,SRX16052077,SAMN29546754,SRS13731048,fungi_SP_W12_G_211,SP,W12,211,Yes,Spray,36504,5382092,147,2,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR020/20011/SRR20011271/SRR20011271.lite.1,12
SRR20011270,SRX16052078,SAMN29546755,SRS13731049,fungi_SP_W12_G_212,SP,W12,212,Yes,Spray,10808,5497051,508,2,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1301/SRR020/20011/SRR20011270/SRR20011270.lite.1,12
SRR20011269,SRX16052079,SAMN29546756,SRS13731050,fungi_SP_W12_G_214,SP,W12,214,Yes,Spray,19880,9405898,473,4,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1301/SRR020/20011/SRR20011269/SRR20011269.lite.1,12
SRR20011268,SRX16052080,SAMN29546757,SRS13731051,fungi_SP_W12_G_215,SP,W12,215,Yes,Spray,7913,3756255,474,1,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR020/20011/SRR20011268/SRR20011268.lite.1,12
SRR20011267,SRX16052081,SAMN29546758,SRS13731052,fungi_SP_W12_G_216,SP,W12,216,Yes,Spray,9998,4601847,460,2,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR020/20011/SRR20011267/SRR20011267.lite.1,12
SRR20011279,SRX16052069,SAMN29546747,SRS13731040,fungi_SV_W12_G_203,SV,W12,203,No,Spray,36550,11106184,303,5,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR020/20011/SRR20011279/SRR20011279.lite.1,12
SRR20011278,SRX16052070,SAMN29546748,SRS13731041,fungi_SV_W12_G_204,SV,W12,204,No,Spray,19905,9591454,481,4,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011278/SRR20011278.lite.1,12
SRR20011277,SRX16052071,SAMN29546749,SRS13731042,fungi_SV_W12_G_206,SV,W12,206,No,Spray,17890,8459063,472,4,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011277/SRR20011277.lite.1,12
SRR20011276,SRX16052072,SAMN29546750,SRS13731043,fungi_SV_W12_G_207,SV,W12,207,No,Spray,56097,30852042,549,15,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1301/SRR020/20011/SRR20011276/SRR20011276.lite.1,12
SRR20011275,SRX16052073,SAMN29546751,SRS13731044,fungi_SV_W12_G_208,SV,W12,208,No,Spray,17994,8792364,488,4,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR020/20011/SRR20011275/SRR20011275.lite.1,12
SRR20011274,SRX16052074,SAMN29546752,SRS13731045,fungi_SV_W12_G_209,SV,W12,209,No,Spray,27299,5218231,191,2,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR020/20011/SRR20011274/SRR20011274.lite.1,12
SRR20011266,SRX16052082,SAMN29546759,SRS13731053,fungi_NTC_W24_G_217,NTC,W24,217,No,None,24169,12328165,510,6,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011266/SRR20011266.lite.1,24
SRR20011265,SRX16052083,SAMN29546760,SRS13731054,fungi_NTC_W24_G_218,NTC,W24,218,No,None,8145,3891754,477,2,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1301/SRR020/20011/SRR20011265/SRR20011265.lite.1,24
SRR20011264,SRX16052084,SAMN29546761,SRS13731055,fungi_NTC_W24_G_219,NTC,W24,219,No,None,22533,11618920,515,6,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011264/SRR20011264.lite.1,24
SRR20011263,SRX16052085,SAMN29546762,SRS13731056,fungi_NTC_W24_G_220,NTC,W24,220,No,None,47546,23851415,501,12,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011263/SRR20011263.lite.1,24
SRR20011262,SRX16052086,SAMN29546763,SRS13731057,fungi_NTC_W24_G_221,NTC,W24,221,No,None,9170,4078065,444,2,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011262/SRR20011262.lite.1,24
SRR20011260,SRX16052088,SAMN29546764,SRS13731059,fungi_NTC_W24_G_223,NTC,W24,223,No,None,139855,71043279,507,37,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR020/20011/SRR20011260/SRR20011260.lite.1,24
SRR20011259,SRX16052089,SAMN29546765,SRS13731060,fungi_NTC_W24_G_224,NTC,W24,224,No,None,14830,7443372,501,4,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1301/SRR020/20011/SRR20011259/SRR20011259.lite.1,24
SRR20011307,SRX16052041,SAMN29546773,SRS13731012,fungi_PP_W24_G_232,PP,W24,232,Yes,Patty,125829,65309015,519,35,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR020/20011/SRR20011307/SRR20011307.lite.1,24
SRR20011305,SRX16052043,SAMN29546774,SRS13731014,fungi_PP_W24_G_233,PP,W24,233,Yes,Patty,134345,55439028,412,26,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR020/20011/SRR20011305/SRR20011305.lite.1,24
SRR20011304,SRX16052044,SAMN29546775,SRS13731015,fungi_PP_W24_G_234,PP,W24,234,Yes,Patty,22037,10931771,496,5,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR020/20011/SRR20011304/SRR20011304.lite.1,24
SRR20011303,SRX16052045,SAMN29546776,SRS13731016,fungi_PP_W24_G_235,PP,W24,235,Yes,Patty,12351,6046664,489,3,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011303/SRR20011303.lite.1,24
SRR20011302,SRX16052046,SAMN29546777,SRS13731017,fungi_PP_W24_G_236,PP,W24,236,Yes,Patty,23665,11300008,477,5,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011302/SRR20011302.lite.1,24
SRR20011301,SRX16052047,SAMN29546778,SRS13731018,fungi_PP_W24_G_237,PP,W24,237,Yes,Patty,7354,3723653,506,2,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR020/20011/SRR20011301/SRR20011301.lite.1,24
SRR20011300,SRX16052048,SAMN29546779,SRS13731019,fungi_PP_W24_G_238,PP,W24,238,Yes,Patty,14507,7246091,499,3,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR020/20011/SRR20011300/SRR20011300.lite.1,24
SRR20011258,SRX16052090,SAMN29546766,SRS13731061,fungi_PV_W24_G_225,PV,W24,225,No,Patty,363249,203095809,559,107,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR020/20011/SRR20011258/SRR20011258.lite.1,24
SRR20011257,SRX16052091,SAMN29546767,SRS13731062,fungi_PV_W24_G_226,PV,W24,226,No,Patty,23022,10127085,439,5,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR020/20011/SRR20011257/SRR20011257.lite.1,24
SRR20011312,SRX16052036,SAMN29546768,SRS13731007,fungi_PV_W24_G_227,PV,W24,227,No,Patty,55703,29287139,525,15,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011312/SRR20011312.lite.1,24
SRR20011311,SRX16052037,SAMN29546769,SRS13731008,fungi_PV_W24_G_228,PV,W24,228,No,Patty,34941,19017775,544,10,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011311/SRR20011311.lite.1,24
SRR20011310,SRX16052038,SAMN29546770,SRS13731009,fungi_PV_W24_G_229,PV,W24,229,No,Patty,27841,13931749,500,7,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011310/SRR20011310.lite.1,24
SRR20011309,SRX16052039,SAMN29546771,SRS13731010,fungi_PV_W24_G_230,PV,W24,230,No,Patty,11849,5779725,487,3,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR020/20011/SRR20011309/SRR20011309.lite.1,24
SRR20011308,SRX16052040,SAMN29546772,SRS13731011,fungi_PV_W24_G_231,PV,W24,231,No,Patty,110692,61674200,557,33,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR020/20011/SRR20011308/SRR20011308.lite.1,24
SRR20011292,SRX16052056,SAMN29546786,SRS13731027,fungi_SP_W24_G_246,SP,W24,246,Yes,Spray,47115,22788666,483,11,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR020/20011/SRR20011292/SRR20011292.lite.1,24
SRR20011291,SRX16052057,SAMN29546787,SRS13731028,fungi_SP_W24_G_247,SP,W24,247,Yes,Spray,18560,9409409,506,5,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011291/SRR20011291.lite.1,24
SRR20011290,SRX16052058,SAMN29546788,SRS13731029,fungi_SP_W24_G_248,SP,W24,248,Yes,Spray,18978,9408662,495,5,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR020/20011/SRR20011290/SRR20011290.lite.1,24
SRR20011289,SRX16052059,SAMN29546789,SRS13731030,fungi_SP_W24_G_250,SP,W24,250,Yes,Spray,8597,4038507,469,2,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011289/SRR20011289.lite.1,24
SRR20011288,SRX16052060,SAMN29546790,SRS13731031,fungi_SP_W24_G_251,SP,W24,251,Yes,Spray,62580,32960873,526,17,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR020/20011/SRR20011288/SRR20011288.lite.1,24
SRR20011287,SRX16052061,SAMN29546791,SRS13731032,fungi_SP_W24_G_252,SP,W24,252,Yes,Spray,76172,39658541,520,21,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR020/20011/SRR20011287/SRR20011287.lite.1,24
SRR20011299,SRX16052049,SAMN29546780,SRS13731020,fungi_SV_W24_G_239,SV,W24,239,No,Spray,39236,17915008,456,8,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1301/SRR020/20011/SRR20011299/SRR20011299.lite.1,24
SRR20011298,SRX16052050,SAMN29546781,SRS13731021,fungi_SV_W24_G_240,SV,W24,240,No,Spray,6225,2997096,481,1,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1301/SRR020/20011/SRR20011298/SRR20011298.lite.1,24
SRR20011297,SRX16052051,SAMN29546782,SRS13731022,fungi_SV_W24_G_242,SV,W24,242,No,Spray,33886,17127291,505,9,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011297/SRR20011297.lite.1,24
SRR20011296,SRX16052052,SAMN29546783,SRS13731023,fungi_SV_W24_G_243,SV,W24,243,No,Spray,137077,52063497,379,23,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR020/20011/SRR20011296/SRR20011296.lite.1,24
SRR20011294,SRX16052054,SAMN29546784,SRS13731025,fungi_SV_W24_G_244,SV,W24,244,No,Spray,62595,31074464,496,15,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR020/20011/SRR20011294/SRR20011294.lite.1,24
SRR20011293,SRX16052055,SAMN29546785,SRS13731026,fungi_SV_W24_G_245,SV,W24,245,No,Spray,49773,27051798,543,14,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR020/20011/SRR20011293/SRR20011293.lite.1,24
